scorer,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000
individuals,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5
bodyparts,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.0,,,0.0,668.498,440.086,1.0,671.39,444.357,1.0,684.172,446.534,1.0,584.159,478.64,1.0,588.402,478.641,1.0,589.81,473.379,1.0,592.522,473.59,1.0,606.308,474.417,1.0,637.191,523.65,1.0,642.989,516.705,1.0,634.623,502.273,1.0,644.758,500.6,1.0,652.625,486.344,1.0,614.775,556.158,1.0,610.931,544.069,1.0,599.856,547.523,1.0,596.654,560.191,1.0,609.556,563.311,1.0,657.909,418.016,1.0,659.43,421.324,1.0,636.652,421.773,1.0,631.24,424.072,1.0,621.528,429.769,1.0
1,,,0.0,,,0.0,671.264,440.228,1.0,671.39,444.357,1.0,684.172,447.044,1.0,584.159,478.64,1.0,588.487,478.758,1.0,589.81,473.379,1.0,592.522,473.838,1.0,606.451,474.448,1.0,637.191,524.03,1.0,642.989,517.02,1.0,634.623,502.78,1.0,644.958,500.602,1.0,652.68,486.886,1.0,616.409,556.933,1.0,611.834,544.279,1.0,600.278,547.567,1.0,596.654,560.191,1.0,609.556,563.311,1.0,657.909,418.016,1.0,659.43,421.324,1.0,636.652,421.773,1.0,631.24,424.072,1.0,621.528,429.769,1.0
2,,,0.0,,,0.0,671.264,440.228,1.0,671.39,444.357,1.0,685.557,447.83,1.0,584.159,478.64,1.0,588.517,478.86,1.0,589.976,473.379,1.0,592.522,473.838,1.0,606.798,474.8,1.0,637.191,529.506,1.0,643.433,517.172,1.0,634.623,503.646,1.0,645.337,501.15,1.0,652.711,487.248,1.0,616.409,556.933,1.0,611.834,544.919,1.0,600.278,547.735,1.0,596.654,560.191,1.0,609.556,563.331,1.0,657.909,418.016,1.0,659.43,421.324,1.0,636.652,421.773,1.0,631.24,424.072,1.0,621.528,429.769,1.0
3,659.884,432.326,1.0,658.888,420.834,1.0,671.264,440.228,1.0,632.607,425.389,1.0,685.557,447.939,1.0,584.425,478.575,1.0,589.432,478.86,1.0,589.993,473.379,1.0,592.695,473.59,1.0,607.343,474.924,1.0,636.372,524.03,1.0,643.433,517.282,1.0,634.623,504.376,1.0,645.337,501.269,1.0,652.711,487.77,1.0,614.775,556.158,1.0,611.834,545.344,1.0,600.278,547.997,1.0,596.489,560.191,1.0,609.556,563.331,1.0,,,,,,,,,,,,,,,
4,659.161,430.938,1.0,658.751,420.636,1.0,669.802,440.176,1.0,632.566,425.389,1.0,684.866,450.143,1.0,584.956,478.569,1.0,589.663,478.86,1.0,590.094,473.379,1.0,592.874,473.583,1.0,607.619,474.81,1.0,636.185,523.773,1.0,644.362,517.621,1.0,634.561,504.376,1.0,645.337,501.269,1.0,652.68,488.234,1.0,,,0.0,606.911,554.021,1.0,600.223,548.428,1.0,596.489,560.222,1.0,609.523,563.331,1.0,,,,,,,,,,,,,,,
5,659.044,429.172,1.0,658.726,420.484,1.0,669.208,440.176,1.0,632.337,425.389,1.0,684.866,450.143,1.0,585.902,478.569,1.0,590.003,478.86,1.0,590.094,473.182,1.0,599.771,473.128,1.0,607.762,474.8,1.0,629.699,523.773,1.0,644.872,517.921,1.0,634.561,504.613,1.0,644.999,502.069,1.0,652.68,488.896,1.0,,,0.0,605.396,554.252,1.0,599.74,548.712,1.0,596.489,560.519,1.0,609.476,563.996,1.0,,,,,,,,,,,,,,,
6,658.124,428.218,1.0,658.627,420.411,1.0,668.447,439.61,1.0,632.337,425.606,1.0,684.866,450.143,1.0,586.322,478.575,1.0,590.034,479.348,1.0,590.227,474.335,1.0,599.771,472.82,1.0,608.199,474.8,1.0,,,0.0,644.872,517.921,1.0,634.641,505.199,1.0,644.06,503.248,1.0,652.341,491.187,1.0,615.005,554.349,1.0,605.396,554.252,1.0,599.74,551.443,1.0,596.489,560.968,1.0,606.034,568.043,1.0,,,,,,,,,,,,,,,
