scorer,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000
individuals,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5
bodyparts,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,630.311,438.789,1.0,622.864,445.658,1.0,608.126,446.47,1.0,600.06,448.372,0.0,601.291,469.111,0.0,652.509,511.852,1.0,653.965,500.036,1.0,658.396,495.676,1.0,644.726,486.909,1.0,,,1.0,584.989,502.06,1.0,584.769,493.158,1.0,584.157,481.508,1.0,587.401,478.901,1.0,601.245,470.171,1.0,681.45,370.637,1.0,678.172,375.378,1.0,672.153,387.592,1.0,669.478,394.655,1.0,672.451,409.946,1.0,,,,,,,,,,,,,,,
1,630.667,439.333,1.0,623.134,446.864,1.0,608.733,446.691,1.0,601.046,448.81,0.0,601.291,469.111,0.0,652.543,511.852,1.0,654.001,500.036,1.0,658.396,495.813,1.0,644.726,486.909,1.0,639.21,,1.0,585.569,502.393,1.0,585.144,493.36,1.0,584.427,481.91,1.0,587.401,479.144,1.0,601.245,470.171,1.0,681.881,370.637,1.0,679.432,379.45,1.0,673.468,387.592,1.0,671.654,394.655,1.0,672.451,409.946,1.0,,,,,,,,,,,,,,,
2,631.075,439.596,1.0,624.239,447.583,1.0,609.929,446.741,1.0,601.274,448.87,1.0,601.291,469.111,1.0,652.622,511.852,1.0,654.008,500.036,1.0,658.396,495.813,1.0,644.726,486.909,1.0,639.294,,0.0,585.886,507.432,1.0,585.24,493.905,1.0,584.427,482.106,1.0,587.401,479.559,1.0,601.245,470.171,1.0,682.795,370.637,1.0,679.784,379.45,1.0,679.908,387.592,1.0,677.487,394.655,1.0,672.451,409.946,1.0,,,,,,,,,,,,,,,
3,634.165,439.596,1.0,626.132,447.913,1.0,611.209,446.745,1.0,601.274,448.87,1.0,600.749,468.209,1.0,653.697,510.93,1.0,654.294,498.892,1.0,658.276,495.676,1.0,644.207,485.436,1.0,639.557,484.582,1.0,585.886,508.101,1.0,588.209,495.493,1.0,584.468,482.959,1.0,586.905,479.854,1.0,,,0.0,683.789,370.01,1.0,679.784,378.754,1.0,680.951,384.454,1.0,678.347,393.888,1.0,668.479,407.53,1.0,,,,,,,,,,,,,,,
4,634.165,440.448,1.0,626.132,447.913,1.0,612.161,446.745,1.0,601.274,448.81,1.0,600.333,467.979,1.0,654.794,510.889,1.0,654.352,497.944,1.0,657.131,495.504,1.0,644.171,484.399,1.0,639.364,484.294,1.0,585.886,508.11,1.0,588.299,495.517,1.0,584.747,483.508,1.0,586.905,480.639,1.0,,,0.0,683.789,369.574,1.0,679.432,378.151,1.0,680.951,384.454,1.0,678.452,393.708,1.0,668.479,407.024,1.0,,,,,,,,,,,,,,,
5,634.351,441.571,1.0,626.132,447.913,1.0,614.463,446.745,1.0,603.366,448.81,1.0,600.261,467.342,1.0,655.545,510.728,1.0,654.36,497.806,1.0,657.0,495.504,1.0,644.15,484.308,1.0,639.294,484.27,1.0,585.634,508.178,1.0,588.446,495.79,1.0,585.397,483.949,1.0,586.905,480.783,1.0,,,0.0,684.203,369.504,1.0,679.432,378.151,1.0,680.951,383.486,1.0,678.529,393.411,1.0,668.479,405.343,1.0,,,,,,,,,,,,,,,
6,634.48,441.571,1.0,625.969,447.703,1.0,614.534,446.417,1.0,604.475,448.199,1.0,600.108,465.684,1.0,655.624,510.176,1.0,654.36,497.75,1.0,656.492,495.504,1.0,643.633,483.934,1.0,639.181,484.21,1.0,585.157,509.324,1.0,588.446,497.111,1.0,586.286,485.113,1.0,588.418,481.118,1.0,,,0.0,684.342,366.944,1.0,679.784,375.878,1.0,681.04,381.487,1.0,678.752,391.172,1.0,671.548,396.167,1.0,,,,,,,,,,,,,,,
7,634.48,441.571,1.0,625.969,447.703,1.0,617.464,446.417,1.0,604.475,448.183,1.0,,,0.0,655.661,509.5,1.0,654.36,496.542,1.0,655.88,495.583,1.0,643.109,483.091,1.0,639.09,483.88,1.0,585.111,509.437,1.0,588.96,497.256,1.0,586.314,485.179,1.0,588.47,481.542,1.0,600.289,466.322,1.0,687.103,358.941,1.0,679.882,364.302,1.0,680.465,378.129,1.0,680.49,382.386,1.0,674.192,395.167,1.0,,,,,,,,,,,,,,,
