scorer,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000
individuals,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5
bodyparts,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,621.411,414.441,1.0,629.569,442.574,1.0,620.184,454.397,1.0,605.883,456.534,1.0,615.249,468.42,1.0,561.901,512.938,1.0,555.29,502.272,1.0,551.589,499.262,1.0,550.972,491.55,1.0,556.975,487.157,1.0,684.736,516.081,1.0,680.761,517.92,1.0,670.308,524.002,1.0,658.639,514.545,1.0,657.61,514.814,1.0,699.83,461.952,1.0,689.394,456.786,1.0,676.576,460.42,1.0,665.635,466.061,1.0,661.943,473.125,1.0,621.097,401.739,0.0,629.446,410.978,1.0,627.318,416.826,1.0,,,1.0,636.342,439.079,0.0
1,630.914,440.468,1.0,629.639,442.574,1.0,620.184,454.397,1.0,605.926,457.758,1.0,615.264,468.42,1.0,561.901,513.366,1.0,555.29,502.336,1.0,551.762,499.267,1.0,551.302,491.55,1.0,557.001,487.376,1.0,691.018,516.081,1.0,682.069,517.92,1.0,670.533,525.774,1.0,660.654,515.452,1.0,658.993,515.453,1.0,700.675,461.952,1.0,693.885,456.786,1.0,677.644,462.685,1.0,666.856,466.061,1.0,662.218,473.125,1.0,626.022,401.739,1.0,629.446,410.978,1.0,628.62,417.667,1.0,,,1.0,638.197,439.079,1.0
2,631.201,443.071,1.0,629.639,442.574,1.0,620.495,454.397,1.0,605.926,457.758,1.0,615.411,468.42,1.0,561.901,513.707,1.0,555.504,502.373,1.0,551.878,499.336,1.0,551.925,491.564,1.0,557.371,487.907,1.0,693.709,516.829,1.0,686.027,517.92,1.0,674.333,527.216,1.0,667.628,516.259,1.0,662.214,517.247,1.0,702.07,462.306,1.0,695.043,456.786,1.0,679.472,464.002,1.0,671.609,466.061,1.0,663.294,473.125,1.0,626.022,401.739,1.0,629.446,410.978,1.0,629.74,420.837,1.0,,422.074,0.0,638.197,439.079,1.0
3,631.201,443.071,1.0,629.639,441.778,1.0,621.443,453.87,1.0,613.786,,1.0,617.8,467.11,1.0,561.682,513.727,1.0,555.446,502.507,1.0,552.107,499.289,1.0,551.98,491.564,1.0,557.459,487.932,1.0,693.709,516.45,1.0,688.35,516.267,1.0,675.614,527.643,1.0,668.538,517.368,1.0,662.214,517.93,1.0,702.449,462.306,1.0,696.509,456.736,1.0,685.346,462.94,1.0,672.04,465.714,1.0,665.244,471.132,1.0,625.274,400.783,1.0,629.116,407.972,1.0,629.064,421.099,1.0,631.672,461.45,1.0,637.71,437.834,1.0
4,631.201,440.468,1.0,629.816,441.776,1.0,621.443,453.645,1.0,614.09,,0.0,617.972,466.954,1.0,561.443,514.287,1.0,555.446,502.875,1.0,552.229,499.289,1.0,552.545,491.422,1.0,558.043,488.269,1.0,695.208,516.081,1.0,691.296,516.0,1.0,681.59,527.643,1.0,668.904,517.189,1.0,662.536,520.888,1.0,702.7,462.306,1.0,697.075,455.207,1.0,685.523,462.94,1.0,672.578,464.374,1.0,665.873,468.924,1.0,625.274,400.479,1.0,628.322,407.902,1.0,628.62,421.099,1.0,617.622,421.066,1.0,637.71,437.007,1.0
5,628.869,440.468,1.0,629.816,441.748,1.0,621.417,453.047,1.0,619.374,461.855,1.0,619.389,465.965,1.0,560.7,514.507,1.0,555.446,503.023,1.0,552.376,499.267,1.0,552.669,491.32,1.0,558.166,488.445,1.0,695.208,515.882,1.0,691.505,516.0,1.0,682.258,527.643,1.0,669.22,517.189,1.0,665.151,521.824,1.0,702.7,462.648,1.0,698.113,453.508,1.0,686.721,462.94,1.0,673.01,464.374,1.0,665.873,468.924,1.0,,,0.0,627.18,407.972,1.0,629.088,421.261,1.0,,,0.0,638.197,436.743,1.0
6,628.869,442.317,1.0,629.261,441.748,1.0,621.417,453.047,1.0,616.873,461.855,1.0,621.452,465.843,1.0,560.426,514.507,1.0,555.446,503.023,1.0,552.376,499.167,1.0,553.002,491.312,1.0,558.166,488.482,1.0,695.208,515.882,1.0,691.782,516.267,1.0,682.554,527.269,1.0,669.927,517.189,1.0,665.226,522.04,1.0,702.934,462.648,1.0,698.386,452.931,1.0,687.083,462.524,1.0,674.344,464.588,1.0,666.422,468.924,1.0,,,,,408.695,,629.088,421.099,,,,,638.362,,
