scorer,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000
individuals,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5
bodyparts,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,710.766,498.438,1.0,702.707,495.583,1.0,695.778,494.929,1.0,682.859,483.342,1.0,678.855,484.414,1.0,570.537,368.183,1.0,575.475,374.678,1.0,584.517,384.004,1.0,582.081,384.069,1.0,597.382,402.255,1.0,616.733,382.057,1.0,621.484,388.717,1.0,630.693,397.262,1.0,631.992,401.444,1.0,639.311,409.174,1.0,634.866,507.694,1.0,627.327,510.76,1.0,619.376,508.883,1.0,612.51,502.774,1.0,599.642,503.128,1.0,568.006,468.559,1.0,567.062,461.088,1.0,569.106,454.988,1.0,569.476,445.999,1.0,577.718,446.723,1.0
1,711.389,499.65,1.0,703.993,496.612,1.0,696.665,494.929,1.0,683.62,484.349,1.0,679.864,484.887,1.0,570.537,368.183,1.0,575.622,374.854,1.0,584.517,384.256,1.0,582.081,384.186,1.0,597.382,402.255,1.0,618.559,382.228,1.0,621.772,388.717,1.0,631.062,397.262,1.0,632.247,401.444,1.0,639.311,409.174,1.0,634.866,507.694,1.0,627.327,510.76,1.0,620.296,509.226,1.0,612.532,503.249,1.0,599.642,503.415,1.0,571.319,468.559,1.0,568.45,462.213,1.0,569.621,455.88,1.0,571.557,446.731,1.0,577.933,446.89,1.0
2,712.637,499.837,1.0,705.662,497.703,1.0,697.825,494.929,1.0,689.677,484.601,1.0,681.371,487.556,1.0,570.537,368.183,1.0,575.625,374.854,1.0,584.517,384.256,1.0,582.081,384.422,1.0,597.382,402.255,1.0,619.315,383.343,1.0,622.748,388.717,1.0,631.696,397.262,1.0,632.889,401.444,1.0,639.369,409.174,1.0,634.866,507.694,1.0,628.201,510.76,1.0,620.692,509.339,1.0,612.532,503.249,1.0,599.702,503.415,1.0,575.443,468.559,1.0,577.555,462.908,1.0,571.261,456.792,1.0,571.557,448.242,1.0,578.26,446.905,1.0
3,714.083,500.518,1.0,707.066,498.124,1.0,698.232,494.514,1.0,692.038,485.039,1.0,682.885,488.526,1.0,570.176,368.183,1.0,575.622,374.678,1.0,584.016,384.004,1.0,581.889,384.422,1.0,597.382,402.073,1.0,618.837,385.587,1.0,622.748,388.058,1.0,631.062,396.877,1.0,632.247,400.227,1.0,639.311,408.873,1.0,634.866,502.344,1.0,628.228,506.237,1.0,620.692,509.339,1.0,612.532,502.774,1.0,599.74,503.415,1.0,578.874,469.526,1.0,579.14,463.318,1.0,572.021,457.108,1.0,571.557,448.248,1.0,578.26,447.059,1.0
4,714.083,500.567,1.0,710.058,498.794,1.0,700.087,493.837,1.0,694.998,489.226,1.0,685.678,489.438,1.0,568.153,368.183,1.0,575.475,373.728,1.0,580.445,381.56,1.0,579.26,384.422,1.0,588.539,395.022,1.0,618.837,385.587,1.0,623.016,387.46,1.0,630.693,395.33,1.0,631.992,399.862,1.0,637.951,406.518,1.0,634.435,498.807,1.0,628.228,506.237,1.0,622.08,510.511,1.0,612.337,502.547,1.0,599.807,502.631,1.0,578.964,470.031,1.0,579.14,464.522,1.0,572.463,457.706,1.0,571.084,449.051,1.0,577.718,447.36,1.0
5,717.951,502.987,1.0,710.191,499.711,1.0,700.375,493.837,1.0,695.445,489.242,1.0,685.939,490.364,1.0,564.967,373.165,1.0,574.834,373.317,1.0,577.886,381.014,1.0,577.42,384.422,1.0,586.579,395.022,1.0,618.837,385.587,1.0,623.016,386.832,1.0,629.394,394.685,1.0,632.247,399.691,1.0,637.951,406.292,1.0,634.435,494.563,1.0,628.598,504.255,1.0,622.846,510.511,1.0,612.337,502.335,1.0,600.142,502.631,1.0,582.21,474.922,1.0,579.14,465.895,1.0,572.517,458.825,1.0,568.656,450.637,1.0,576.531,447.488,1.0
6,718.195,503.761,1.0,710.661,499.886,1.0,701.125,493.837,1.0,695.598,490.316,1.0,687.18,490.936,1.0,562.562,373.165,1.0,573.803,372.497,1.0,576.671,377.517,1.0,577.42,383.132,1.0,585.532,394.418,1.0,618.449,383.351,1.0,623.016,386.317,1.0,627.506,392.251,1.0,633.02,394.678,1.0,640.361,406.28,1.0,635.988,494.398,1.0,628.598,502.671,1.0,623.154,510.484,1.0,612.337,501.651,1.0,601.08,502.631,1.0,582.231,475.284,1.0,578.514,467.608,1.0,572.517,459.632,1.0,567.832,452.265,1.0,574.777,447.488,1.0
