scorer,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000,DLC_dlcrnetms5_basler-larval-tracking-metforminMay6shuffle1_200000
individuals,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva1,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva2,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva3,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva4,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5,larva5
bodyparts,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear,mouth,mouth,mouth,midfront,midfront,midfront,mid,mid,mid,midrear,midrear,midrear,rear,rear,rear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,675.858,455.895,1.0,668.324,457.658,1.0,656.468,464.151,1.0,648.972,467.898,0.0,638.366,472.616,0.0,572.689,444.404,1.0,574.978,449.621,1.0,571.087,491.539,1.0,569.758,476.739,1.0,569.748,479.041,1.0,635.822,450.574,1.0,626.54,450.282,1.0,617.907,461.658,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,675.858,455.895,1.0,668.324,457.658,1.0,657.71,465.267,1.0,649.861,468.048,0.0,638.366,472.616,0.0,572.689,447.706,1.0,575.193,450.307,1.0,571.087,491.539,0.9990000128746033,569.758,476.739,1.0,575.933,479.041,1.0,635.846,450.574,1.0,626.562,450.826,1.0,619.342,461.968,1.0,,468.765,1.0,643.806,471.684,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,675.858,459.407,1.0,668.324,457.658,1.0,658.244,465.267,1.0,650.186,468.048,1.0,638.366,472.616,1.0,572.689,447.706,1.0,575.193,450.307,1.0,571.087,491.539,0.9950000047683716,569.758,477.784,1.0,575.997,479.041,1.0,636.633,450.574,1.0,627.461,450.846,1.0,620.258,462.666,1.0,,468.765,0.0,643.806,472.217,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,675.683,458.757,1.0,667.085,457.658,1.0,658.244,464.151,1.0,649.861,468.048,1.0,,,0.0,572.014,447.706,1.0,575.14,449.621,1.0,563.127,480.67,0.9789999723434448,570.558,477.784,0.0,575.997,477.312,1.0,637.34,449.489,1.0,628.008,451.035,1.0,620.407,462.188,1.0,613.699,480.68,1.0,643.806,472.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,673.756,458.757,1.0,666.977,457.658,1.0,657.71,463.092,1.0,648.972,467.898,1.0,,,0.0,567.553,443.814,1.0,574.978,448.211,1.0,563.127,480.67,1.0,572.799,478.982,1.0,575.997,477.266,1.0,639.27,449.441,1.0,628.008,452.804,1.0,620.407,462.188,1.0,613.699,471.748,1.0,643.66,472.657,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,668.1,458.757,1.0,666.974,456.173,1.0,653.939,463.092,1.0,648.829,469.6,1.0,,,0.0,567.408,443.814,1.0,574.264,448.211,1.0,563.127,480.647,1.0,568.743,476.987,1.0,575.997,477.077,1.0,639.7,449.441,1.0,629.378,455.724,1.0,620.407,462.666,1.0,612.777,467.123,1.0,642.635,472.217,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,592.069,460.937,1.0,587.351,459.748,1.0,652.642,463.092,1.0,,469.6,0.0,,,0.0,566.879,443.814,1.0,572.857,448.211,1.0,540.216,480.647,1.0,565.821,461.182,1.0,575.997,476.811,1.0,664.451,449.489,1.0,640.782,457.2,1.0,616.2,462.188,1.0,613.699,467.123,1.0,642.09,471.373,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,592.069,460.937,1.0,587.06,484.608,1.0,577.537,509.572,1.0,648.27,471.335,1.0,581.747,474.986,1.0,539.515,495.462,1.0,550.871,484.464,1.0,540.216,479.674,1.0,,,0.0,,,0.0,663.129,468.617,1.0,640.942,457.398,1.0,613.592,459.73,1.0,646.837,469.825,1.0,642.635,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,591.34,519.893,1.0,587.06,513.743,1.0,577.537,509.593,1.0,,,0.0,581.711,474.184,1.0,539.426,495.536,1.0,550.871,484.469,1.0,540.216,479.595,1.0,,,0.0,,,0.0,663.129,468.617,1.0,659.442,467.482,1.0,613.592,457.423,1.0,646.837,469.825,1.0,642.636,471.373,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
